char,timestamp,churn
IdentifierId(26088),Sat Sep 27 19:59:58 EDT 2008,FALSE
IdentifierId(22250),Sat Sep 27 19:59:58 EDT 2008,FALSE
IdentifierId(63048),Sat Sep 27 19:59:58 EDT 2008,FALSE
IdentifierId(30491),Sat Sep 27 19:59:53 EDT 2008,FALSE
IdentifierId(70838),Sat Sep 27 19:59:53 EDT 2008,FALSE
IdentifierId(74227),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(77763),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(29904),Sat Sep 27 19:59:48 EDT 2008,TRUE
IdentifierId(24558),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(73761),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(22786),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(7355),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(75141),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(9661),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(75895),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(25200),Sat Sep 27 19:59:48 EDT 2008,FALSE
IdentifierId(78536),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(77670),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(33593),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(31558),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(78567),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(78550),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(78561),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(63529),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(78429),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(77624),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(78405),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(76996),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(71893),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(28622),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(77756),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(74107),Sat Sep 27 19:59:43 EDT 2008,FALSE
IdentifierId(28758),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(72846),Sat Sep 27 19:59:43 EDT 2008,TRUE
IdentifierId(18732),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(24288),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(17775),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(1020),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(22382),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(17111),Sat Sep 27 19:59:38 EDT 2008,FALSE
IdentifierId(62646),Sat Sep 27 19:59:33 EDT 2008,FALSE
IdentifierId(7084),Sat Sep 27 19:59:33 EDT 2008,FALSE
IdentifierId(68112),Sat Sep 27 19:59:28 EDT 2008,FALSE
IdentifierId(71853),Sat Sep 27 19:59:28 EDT 2008,FALSE
IdentifierId(881),Sat Sep 27 19:59:22 EDT 2008,FALSE
IdentifierId(32590),Sat Sep 27 19:59:22 EDT 2008,FALSE
IdentifierId(1148),Sat Sep 27 19:59:22 EDT 2008,FALSE
IdentifierId(685),Sat Sep 27 19:59:22 EDT 2008,FALSE
IdentifierId(71901),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(69528),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(46502),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(22246),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(2309),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(22137),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(75255),Sat Sep 27 19:59:17 EDT 2008,TRUE
IdentifierId(50490),Sat Sep 27 19:59:17 EDT 2008,FALSE
IdentifierId(21891),Sat Sep 27 19:59:12 EDT 2008,FALSE
IdentifierId(417),Sat Sep 27 19:59:12 EDT 2008,TRUE
IdentifierId(75769),Sat Sep 27 19:59:07 EDT 2008,FALSE
IdentifierId(1821),Sat Sep 27 19:59:07 EDT 2008,TRUE
IdentifierId(27548),Sat Sep 27 19:59:07 EDT 2008,TRUE
IdentifierId(23650),Sat Sep 27 19:59:02 EDT 2008,FALSE
IdentifierId(30052),Sat Sep 27 19:58:57 EDT 2008,TRUE
IdentifierId(77881),Sat Sep 27 19:58:57 EDT 2008,FALSE
IdentifierId(61814),Sat Sep 27 19:58:57 EDT 2008,FALSE
IdentifierId(182),Sat Sep 27 19:58:57 EDT 2008,FALSE
IdentifierId(76771),Sat Sep 27 19:58:57 EDT 2008,FALSE
IdentifierId(990),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(13705),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(11675),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(19581),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(27900),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(3472),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(6142),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(73850),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(74127),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(75706),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(71918),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(1170),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(71977),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(27212),Sat Sep 27 19:58:51 EDT 2008,TRUE
IdentifierId(62469),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(56776),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(72858),Sat Sep 27 19:58:51 EDT 2008,TRUE
IdentifierId(69075),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(28486),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(23742),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(32765),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(51930),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(68221),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(46110),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(10868),Sat Sep 27 19:58:51 EDT 2008,FALSE
IdentifierId(58866),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(73308),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(23187),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(43759),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(565),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(70731),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(1415),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(31563),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(49558),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(20879),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(67739),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(65177),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(22561),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(21161),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(51861),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(53308),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(60179),Sat Sep 27 19:58:46 EDT 2008,TRUE
IdentifierId(69149),Sat Sep 27 19:58:46 EDT 2008,FALSE
IdentifierId(11609),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(61510),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(33598),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(665),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(13184),Sat Sep 27 19:58:41 EDT 2008,TRUE
IdentifierId(22007),Sat Sep 27 19:58:41 EDT 2008,TRUE
IdentifierId(20770),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(5783),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(24448),Sat Sep 27 19:58:41 EDT 2008,FALSE
IdentifierId(14788),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(21861),Sat Sep 27 19:58:36 EDT 2008,TRUE
IdentifierId(16638),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(70476),Sat Sep 27 19:58:36 EDT 2008,TRUE
IdentifierId(66527),Sat Sep 27 19:58:36 EDT 2008,TRUE
IdentifierId(1645),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(34684),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(68),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(22716),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(20816),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(75670),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(26892),Sat Sep 27 19:58:36 EDT 2008,TRUE
IdentifierId(140),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(26752),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(61736),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(22928),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(939),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(67451),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(3923),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(16193),Sat Sep 27 19:58:36 EDT 2008,FALSE
IdentifierId(22467),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(36263),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(77685),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(70558),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(72354),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(68995),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(64520),Sat Sep 27 19:58:31 EDT 2008,FALSE
IdentifierId(8558),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(54820),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(72743),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(74183),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(54682),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(77634),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(28735),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(29484),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(16053),Sat Sep 27 19:58:26 EDT 2008,TRUE
IdentifierId(24886),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(28955),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(42163),Sat Sep 27 19:58:26 EDT 2008,FALSE
IdentifierId(76620),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(74714),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(78128),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(73093),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(77832),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(78073),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(13857),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(78155),Sat Sep 27 19:58:21 EDT 2008,TRUE
IdentifierId(69147),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(28427),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(78549),Sat Sep 27 19:58:21 EDT 2008,TRUE
IdentifierId(77561),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(65725),Sat Sep 27 19:58:21 EDT 2008,FALSE
IdentifierId(78503),Sat Sep 27 19:58:21 EDT 2008,TRUE
IdentifierId(36),Sat Sep 27 19:58:11 EDT 2008,TRUE
IdentifierId(75470),Sat Sep 27 19:58:11 EDT 2008,FALSE
IdentifierId(73192),Sat Sep 27 19:58:11 EDT 2008,FALSE
IdentifierId(9085),Sat Sep 27 19:58:11 EDT 2008,FALSE
IdentifierId(41004),Sat Sep 27 19:58:06 EDT 2008,FALSE
IdentifierId(25396),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(22594),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(59020),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(753),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(67612),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(1801),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(29539),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(22283),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(73360),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(44477),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(12938),Sat Sep 27 19:58:01 EDT 2008,FALSE
IdentifierId(20006),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(22005),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(58276),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(3634),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(60268),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(56181),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(28490),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(70425),Sat Sep 27 19:57:55 EDT 2008,FALSE
IdentifierId(23150),Sat Sep 27 19:57:50 EDT 2008,FALSE
IdentifierId(65943),Sat Sep 27 19:57:50 EDT 2008,FALSE
IdentifierId(7746),Sat Sep 27 19:57:45 EDT 2008,TRUE
IdentifierId(45504),Sat Sep 27 19:57:40 EDT 2008,FALSE
IdentifierId(78393),Sat Sep 27 19:57:40 EDT 2008,FALSE
IdentifierId(77642),Sat Sep 27 19:57:40 EDT 2008,FALSE
IdentifierId(73588),Sat Sep 27 19:57:40 EDT 2008,TRUE
IdentifierId(67862),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(34743),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(34858),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(69475),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(59718),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(63384),Sat Sep 27 19:50:59 EDT 2008,FALSE
IdentifierId(69929),Sat Sep 27 19:50:59 EDT 2008,FALSE
