"Zone_Name","Continent","Area","Zone","Subzone","Type","Size","Controlled","Min_req_level","Min_rec_level","Max_rec_level","Min_bot_level","Max_bot_level"
"ZoneidId(Durotar)","Kalimdor","Central Kalimdor","Durotar","","Zone","0","Horde","1","1","10","1","10"
"ZoneidId(The Barrens)","Kalimdor","Central Kalimdor","The Barrens","","Zone","0","Contested","1","10","35","10","35"
"ZoneidId(Silverpine Forest)","Eastern Kingdoms","Lordaeron","Silverpine Forest","","Zone","0","Horde","1","10","20","10","20"
"ZoneidId(Stonetalon Mountains)","Kalimdor","Central Kalimdor","Stonetalon Mountains","","Zone","0","Contested","1","25","30","25","30"
"ZoneidId(Thunder Bluff)","Kalimdor","Central Kalimdor","Thunder Bluff","","City","0","Horde","1","1","100","1","100"
"ZoneidId(Dustwallow Marsh)","Kalimdor","Central Kalimdor","Dustwallow Marsh","","Zone","0","Contested","1","35","40","35","40"
"ZoneidId(Orgrimmar)","Kalimdor","Central Kalimdor","Durotar","Orgrimmar","City","0","Horde","1","1","100","1","100"
"ZoneidId(Undercity)","Eastern Kingdoms","Lordaeron","Tirisfal Glades","Undercity","City","0","Horde","1","1","100","1","100"
"ZoneidId(Ashenvale)","Kalimdor","Northern Kalimdor","Ashenvale","","Zone","0","Contested","1","20","25","20","25"
"ZoneidId(Stranglethorn Vale)","Eastern Kingdoms","Azeroth","Stranglethorn Vale","","Zone","0","Contested","1","30","50","30","50"
"ZoneidId(Wailing Caverns)","Kalimdor","Central Kalimdor","The Barrens","Lushwater Oasis","Dungeon","5","Horde","10","15","25","15","20"
"ZoneidId(Tanaris)","Kalimdor","Southern Kalimdor","Tanaris","","Zone","0","Contested","1","45","50","45","50"
"ZoneidId(Maraudon)","Kalimdor","Central Kalimdor","Desolace","Maraudon","Dungeon","5","Contested","25","32","44","36","39"
"ZoneidId(The Hinterlands)","Eastern Kingdoms","Lordaeron","The Hinterlands","","Zone","0","Contested","1","30","35","30","35"
"ZoneidId(Un'Goro Crater)","Kalimdor","Southern Kalimdor","Un'Goro Crater","","Zone","0","Contested","1","50","55","50","55"
"ZoneidId(Felwood)","Kalimdor","Northern Kalimdor","Felwood","","Zone","0","Contested","1","45","50","45","50"
"ZoneidId(The Temple of Atal'Hakkar)","Eastern Kingdoms","Azeroth","Swamp of Sorrows","Sunken Temple","Dungeon","5","Contested","45","50","60","40","55"
"ZoneidId(Blackrock Depths)","Eastern Kingdoms","Khaz Modan","Blackrock Mountain","The Masonary","Dungeon","5","Contested","42","47","61","53","56"
"ZoneidId(Winterspring)","Kalimdor","Northern Kalimdor","Winterspring","","Zone","0","Contested","1","50","55","50","55"
"ZoneidId(Eastern Plaguelands)","Eastern Kingdoms","Lordaeron","Eastern Plaguelands","","Zone","0","Contested","1","40","45","40","45"
"ZoneidId(Azshara)","Kalimdor","Northern Kalimdor","Azshara","","Zone","0","Horde","1","10","20","10","20"
"ZoneidId(Scholomance)","Eastern Kingdoms","Lordaeron","Western Plaguelands","Caer Darrow","Dungeon","5","Contested","33","38","48","41","43"
"ZoneidId(Arathi Basin)","Eastern Kingdoms","Lordaeron","Arathi Highlands","","Battleground","15","PvP","10","10","100","10","100"
"ZoneidId(Blackrock Spire)","Eastern Kingdoms","Khaz Modan","Blackrock Mountain","Lower Blackrock Spire","Dungeon","5","Contested","48","55","65","51","62"
"ZoneidId(Blackrock Mountain)","Eastern Kingdoms","Khaz Modan","Blackrock Mountain","","Zone","0","Contested","1","50","60","50","60"
"ZoneidId(Moonglade)","Kalimdor","Northern Kalimdor","Moonglade","","Zone","0","Contested","1","55","60","55","60"
"ZoneidId(Mulgore)","Kalimdor","Central Kalimdor","Mulgore","","Zone","0","Horde","1","1","10","1","10"
"ZoneidId(Thousand Needles)","Kalimdor","Southern Kalimdor","Thousand Needles","","Zone","0","Contested","1","40","45","40","45"
"ZoneidId(Hillsbrad Foothills)","Eastern Kingdoms","Lordaeron","Hillsbrad Foothills","","Zone","0","Horde","1","20","25","20","25"
"ZoneidId(Blackfathom Deeps)","Kalimdor","Northern Kalimdor","Ashenvale","The Zoram Strand","Dungeon","5","Contested","15","20","30","18","25"
"ZoneidId(Desolace)","Kalimdor","Central Kalimdor","Desolace","","Zone","0","Contested","1","30","40","30","40"
"ZoneidId(Darkshore)","Kalimdor","Northern Kalimdor","Darkshore","","Zone","0","Alliance","1","10","20","10","20"
"ZoneidId(Alterac Mountains)","Eastern Kingdoms","Lordaeron","Hillsbrad Foothills","Alterac Mountains","Zone","0","Contested","1","30","40","30","40"
"ZoneidId(Swamp of Sorrows)","Eastern Kingdoms","Azeroth","Swamp of Sorrows","","Zone","0","Contested","1","51","55","51","55"
"ZoneidId(Tirisfal Glades)","Eastern Kingdoms","Lordaeron","Tirisfal Glades","","Zone","0","Horde","1","1","10","1","10"
"ZoneidId(Searing Gorge)","Eastern Kingdoms","Khaz Modan","Searing Gorge","","Zone","0","Contested","1","47","51","47","51"
"ZoneidId(Burning Steppes)","Eastern Kingdoms","Khaz Modan","Burning Steppes","","Zone","0","Contested","1","49","52","49","52"
"ZoneidId(Zul'Farrak)","Kalimdor","Southern Kalimdor","Tanaris","Sandsorrow Watch","Dungeon","5","Contested","39","44","54","30","49"
"ZoneidId(Feralas)","Kalimdor","Southern Kalimdor","Feralas","","Zone","0","Contested","1","35","40","35","40"
"ZoneidId(Arathi Highlands)","Eastern Kingdoms","Lordaeron","Arathi Highlands","","Zone","0","Contested","1","25","30","25","30"
"ZoneidId(Blasted Lands)","Eastern Kingdoms","Azeroth","Blasted Lands","","Zone","0","Contested","1","54","60","54","60"
"ZoneidId(Western Plaguelands)","Eastern Kingdoms","Lordaeron","Western Plaguelands","","Zone","0","Contested","1","35","40","35","40"
"ZoneidId(Stratholme)","Kalimdor","Lordaeron","Eastern Plaguelands","Plaguewood","Dungeon","5","Contested","37","42","56","48","51"
"ZoneidId(Scarlet Monastery)","Eastern Kingdoms","Lordaeron","Tirisfal Glades","Whispering Gardens","Dungeon","5","Contested","23","28","38","30","33"
"ZoneidId(Shadowfang Keep)","Eastern Kingdoms","Lordaeron","Silverpine Forest","","Dungeon","5","Horde","11","16","26","13","21"
"ZoneidId(Badlands)","Eastern Kingdoms","Khaz Modan","Badlands","","Zone","0","Contested","1","44","48","44","48"
"ZoneidId(Wetlands)","Eastern Kingdoms","Khaz Modan","Wetlands","","Zone","0","Alliance","1","20","25","20","25"
"ZoneidId(Redridge Mountains)","Eastern Kingdoms","Azeroth","Redridge Mountains","","Zone","0","Alliance","1","15","20","15","20"
"ZoneidId(Hall of Legends)","Kalimdor","Central Kalimdor","Durotar","Orgrimmar","City","0","Horde","1","1","100","1","100"
"ZoneidId(Gnomeregan)","Eastern Kingdoms","Khaz Modan","Dun Morogh","","Dungeon","5","Alliance","19","24","34","26","29"
"ZoneidId(Razorfen Downs)","Kalimdor","Southern Kalimdor","Thosand Needles","","Dungeon","5","Contested","35","40","50","34","45"
"ZoneidId(Duskwood)","Eastern Kingdoms","Azeroth","Duskwood","","Zone","0","Alliance","1","20","25","20","25"
"ZoneidId(Loch Modan)","Eastern Kingdoms","Khaz Modan","Loch Modan","","Zone","0","Alliance","1","10","20","10","20"
"ZoneidId(Silithus)","Kalimdor","Southern Kalimdor","Silithus","","Zone","0","Contested","1","55","60","55","60"
"ZoneidId(Deadwind Pass)","Eastern Kingdoms","Azeroth","Deadwind Pass","","Zone","0","Contested","1","50","60","55","56"
"ZoneidId(Razorfen Kraul)","Kalimdor","Central Kalimdor","Southern Barrens","","Dungeon","5","Horde","25","30","40","21","35"
"ZoneidId(Ragefire Chasm)","Kalimdor","Central Kalimdor","Orgrimmar","Cleft of Shadow","Dungeon","5","Horde","10","15","21","9","17"
"ZoneidId(Dire Maul)","Kalimdor","Southern Kalimdor","Feralas","High Wilderness","Dungeon","5","Contested","31","36","52","44","47"
"ZoneidId(Uldaman)","Eastern Kingdoms","Khaz Modan","Badlands","The Maker's Terrace","Dungeon","5","Contested","30","35","45","35","40"
"ZoneidId(Dun Morogh)","Eastern Kingdoms","Khaz Modan","Dun Morogh","","Zone","0","Alliance","1","1","10","1","10"
"ZoneidId(Elwynn Forest)","Eastern Kingdoms","Azeroth","Elwynn Forest","","Zone","0","Alliance","1","1","10","1","10"
"ZoneidId(Zul'Gurub)","Eastern Kingdoms","Azeroth","Stranglethorn Vale","","Dungeon","20","Contested","50","56","70","56","70"
"ZoneidId(Teldrassil)","Kalimdor","Northern Kalimdor","Teldrassil","","Zone","0","Alliance","1","1","10","1","10"
"ZoneidId(Westfall)","Eastern Kingdoms","Azeroth","Westfall","","Zone","0","Alliance","1","10","15","10","15"
"ZoneidId(Stormwind City)","Eastern Kingdoms","Azeroth","Stormwind City","","Zone","0","Alliance","1","1","100","1","100"
"ZoneidId(Molten Core)","Eastern Kingdoms","Khaz Modan","Blackrock Mountain","","Dungeon","40","Contested","50","60","70","60","70"
"ZoneidId(Onyxia's Lair)","Kalimdor","Central Kalimdor","Dustwallow Marsh","","Dungeon","40","Contested","60","60","70","60","70"
"ZoneidId(Warsong Gulch)","Kalimdor","Northern Kalimdor","Ashenvale","","Battleground","10","PvP","10","10","100","10","100"
"ZoneidId(Blackwing Lair)","Eastern Kingdoms","Khaz Modan","Blackrock Mountain","","Dungeon","40","Contested","50","60","70","60","70"
"ZoneidId(Deadmines)","Eastern Kingdoms","Azeroth","Westfall","Moonbrook","Dungeon","5","Alliance","10","15","21","9","20"
"ZoneidId(Gates of Ahn'Qiraj)","Kalimdor","Southern Kalimdor","Ahn'Qiraj","","Event","0","Contested","1","1","60","1","60"
"ZoneidId(Alterac Valley)","Eastern Kingdoms","Lordaeron","Alterac Mountains","Hillsbrad Foothills","Battleground","40","PvP","20","20","100","20","100"
"ZoneidId(Ironforge)","Eastern Kingdoms","Khaz Modan","Ironforge","","Zone","0","Alliance","1","1","100","1","100"
"ZoneidId(Hyjal)","Kalimdor","Northern Kalimdor","Mount Hyjal","Hyjal Summit","Dungeon","25","Contested","68","70","80","70","80"
"ZoneidId(Deeprun Tram)","Eastern Kingdoms","","","","Transit","0","Alliance","1","1","100","1","100"
"ZoneidId(Ruins of Ahn'Qiraj)","Kalimdor","Southern Kalimdor","Silithus","","Dungeon","20","Contested","50","60","70","60","70"
"ZoneidId(Ahn'Qiraj)","Kalimdor","Southern Kalimdor","Silithus","Ahn'Qiraj","Zone","0","Contested","1","1","60","1","60"
"ZoneidId(Naxxramas)","Northrend","Northrend","Dragonblight","","Dungeon","40","Contested","51","60","70","60","70"
"ZoneidId(GM Island)","Kalimdor","Northern Kalimdor","Teldrassil","GM Island","Zone","0","Contested","1","1","100","1","100"
"ZoneidId(The Great Sea)","The Great Sea","","","","Sea","0","Contested","1","1","100","1","100"
"ZoneidId(Nagrand Arena)","Ouland","Outland","Nagrand","Ring of Trials Arena","Arena","0","PvP","1","10","90","10","90"
"ZoneidId(Blade's Edge Arena)","Outland","Outland","Blade's Edge Mountains","Circle of Blood Arena","Arena","0","PvP","1","10","90","10","90"
"ZoneidId(Quel'thalas)","Eastern Kingdoms","Quel'Thalas","","","Zone","0","Contested","1","1","100","1","100"
"ZoneidId(Hellfire Peninsula)","Outland","Outland","Hellfire Peninsula","","Zone","0","Contested","1","58","70","58","63"
"ZoneidId(Ghostlands)","Eastern Kingdoms","Quel'Thalas","Ghostlands","","Zone","0","Horde","1","10","20","10","20"
"ZoneidId(Silvermoon City)","Eastern Kingdoms","Quel'Thalas","Silvermoon City","","Zone","0","Horde","1","1","90","1","90"
"ZoneidId(Zangarmarsh)","Outland","Outland","Zangarmarsh","","Zone","0","Contested","1","60","64","60","64"
"ZoneidId(Terokkar Forest)","Outland","Outland","Terokkar Forest","","Zone","0","Contested","1","62","70","62","65"
"ZoneidId(Shattrath City)","Outland","Outland","Shattrath City","","Zone","0","Sanctuary","1","1","100","1","100"
"ZoneidId(Hellfire Ramparts)","Outland","Outland","Hellfire Peninsula","","Dungeon","5","Contested","57","57","67","57","72"
"ZoneidId(Eversong Woods)","Eastern Kingdoms","Quel'Thalas","Eversong Woods","","Zone","0","Horde","1","1","10","1","10"
"ZoneidId(Nagrand)","Outland","Outland","Nagrand","","Zone","0","Contested","1","64","70","64","67"
"ZoneidId(Blade's Edge Mountains)","Outland","Outland","Blade's Edge Mountains","","Zone","0","Contested","1","65","70","65","68"
"ZoneidId(Netherstorm)","Outland","Outland","Netherstorm","","Zone","0","Contested","1","67","70","66","70"
"ZoneidId(The Blood Furnace)","Outland","Outland","Hellfire Peninsula","","Dungeon","5","Contested","58","59","68","58","72"
"ZoneidId(Shadowmoon Valley)","Outland","Outland","Shadowmoon Valley","","Zone","0","Contested","1","0","0","67","70"
"ZoneidId(Coilfang: The Slave Pens)","Outland","Outland","Zangarmarsh","Coilfang Reservoir","Dungeon","5","Contested","59","60","69","61","72"
"ZoneidId(The Steamvault)","Outland","Outland","Zangarmarsh","Coilfang Reservoir","Dungeon","5","Contested","65","67","75","69","70"
"ZoneidId(Eye of the Storm)","Outland","Outland","Netherstorm","","Battleground","15","PvP","15","15","100","15","100"
"ZoneidId(Azuremyst Isle)","Kalimdor","Northern Kalimdor","Azuremyst Isle","","Zone","0","Alliance","1","1","10","1","10"
"ZoneidId(Bloodmyst Isle)","Kalimdor","Northern Kalimdor","Bloodmyst Isle","","Zone","0","Alliance","1","10","20","10","20"
"ZoneidId(Mana-Tombs)","Outland","Outland","Terokkar Forest","Auchindoun","Dungeon","5","Contested","61","62","71","61","72"
"ZoneidId(Old Hillsbrad Foothills)","Kalimdor","Southern Kalimdor","Tanaris","Caverns of Time","Dungeon","5","Contested","63","64","73","65","72"
"ZoneidId(Auchenai Crypts)","Outland","Outland","Terokkar Forest","Auchindoun","Dungeon","5","Contested","62","63","72","64","72"
"ZoneidId(Sethekk Halls)","Outland","Outland","Terokkar Forest","Auchindoun","Dungeon","5","Contested","63","65","73","65","72"
"ZoneidId(Twisting Nether)","Other","","","","Zone","0","Contested","1","0","0","0","0"
"ZoneidId(The Black Morass)","Kalimdor","Southern Kalimdor","Tanaris","Caverns of Time","Dungeon","5","Contested","65","68","75","60","72"
"ZoneidId(The Veiled Sea)","Kalimdor","The Veiled Sea","","","Sea","0","Contested","1","0","0","0","0"
"ZoneidId(The Shattered Halls)","Outland","Outland","Hellfire Peninsula","","Dungeon","5","Contested","65","67","75","67","71"
"ZoneidId(Auchindoun: Shadow Labyrinth)","Outland","Outland","Terokkar Forest","Auchindoun","Dungeon","5","Contested","65","67","75","69","70"
"ZoneidId(The Botanica)","Outland","Outland","Netherstorm","Tempest Keep","Dungeon","5","Contested","67","67","75","68","72"
"ZoneidId(The Arcatraz)","Outland","Outland","Netherstorm","Tempest Keep","Dungeon","5","Contested","65","68","75","68","72"
"ZoneidId(Gruul's Lair)","Outland","Outland","Blade's Edge Mountains","","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(Karazhan)","Eastern Kingdoms","Azeroth","Deadwind Pass","","Dungeon","10","Contested","68","70","80","70","80"
"ZoneidId(Magtheridon's Lair)","Outland","Outland","Hellfire Peninsula","","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(The Exodar)","Kalimdor","Northern Kalimdor","The Exodar","","Zone","0","Alliance","1","1","100","1","100"
"ZoneidId(The Forbidding Sea)","Eastern Kingdoms","The Forbidding Sea","","","Sea","0","Contested","1","1","100","1","100"
"ZoneidId(Ruins of Lordaeron)","Eastern Kingdoms","Lordaeron","Tirisfal Glades","Undercity","Arena","0","PvP","1","10","90","10","90"
